sample_id	file	total_mass	internal_scale	external_scale
post_68	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/102V_post.abundances.cxb	2.11538e+07	1.22864	1
post_69	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/103V_post.abundances.cxb	2.84702e+07	1.67682	1
post_70	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/104V_post.abundances.cxb	1.6307e+07	0.959018	1
post_71	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/105V_post.abundances.cxb	2.833e+07	1.59077	1
post_72	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/106V_post.abundances.cxb	1.4474e+07	0.854399	1
post_73	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/107V_post.abundances.cxb	4.59693e+07	3.11598	1
post_74	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/108V_post.abundances.cxb	2.72764e+07	1.58955	1
post_75	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/109V_post.abundances.cxb	3.33831e+07	1.87197	1
post_76	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/110V_post.abundances.cxb	3.04751e+07	1.83708	1
post_77	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/111V_post.abundances.cxb	3.36144e+07	1.87547	1
post_78	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/112V_post.abundances.cxb	2.48641e+07	1.45112	1
post_79	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/113V_post.abundances.cxb	3.13714e+07	1.90727	1
post_80	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/114V_post.abundances.cxb	3.12603e+07	1.75622	1
post_81	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/115V_post.abundances.cxb	3.74111e+07	2.11817	1
post_82	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/116V_post.abundances.cxb	2.2309e+07	1.25794	1
post_83	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/118V_post.abundances.cxb	2.52665e+07	1.36505	1
post_84	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/120V_post.abundances.cxb	2.92064e+07	1.63375	1
post_85	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/122V_post.abundances.cxb	2.49927e+07	1.43052	1
post_86	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/123V_post.abundances.cxb	3.57898e+07	2.04988	1
post_87	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/124V_post.abundances.cxb	3.13494e+07	1.82583	1
post_88	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/125V_post.abundances.cxb	2.04317e+07	1.16187	1
post_89	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/126V_post.abundances.cxb	2.9875e+07	1.7153	1
post_90	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/127V_post.abundances.cxb	2.22216e+07	1.30363	1
post_91	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/129V_post.abundances.cxb	2.78775e+07	1.65744	1
post_92	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/132V_post.abundances.cxb	2.78691e+07	1.64668	1
post_93	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/133V_post.abundances.cxb	3.5741e+07	2.07388	1
post_94	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/135V_post.abundances.cxb	2.79427e+07	1.68508	1
post_95	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/136V_post.abundances.cxb	3.32292e+07	1.79222	1
post_96	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/137V_post.abundances.cxb	2.328e+07	1.43779	1
post_97	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/138V_post.abundances.cxb	2.24637e+07	1.33318	1
post_98	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/139V_post.abundances.cxb	2.2509e+07	1.30939	1
post_99	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/140V_post.abundances.cxb	3.27723e+07	1.91964	1
post_100	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/141V_post.abundances.cxb	2.50626e+07	1.45836	1
post_101	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/142V_post.abundances.cxb	2.42529e+07	1.42394	1
post_102	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/143V_post.abundances.cxb	1.96362e+07	1.14363	1
post_103	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/144V_post.abundances.cxb	2.49446e+07	1.43049	1
post_104	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/145V_post.abundances.cxb	2.97304e+07	1.71121	1
post_105	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/149V_post.abundances.cxb	2.93169e+07	1.65811	1
post_106	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/150V_post.abundances.cxb	3.0656e+07	1.95331	1
post_107	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/151V_post.abundances.cxb	2.80172e+07	1.59306	1
post_108	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/152V_post.abundances.cxb	2.76266e+07	1.66273	1
post_109	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/153V_post.abundances.cxb	3.02937e+07	1.62645	1
post_110	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/154V_post.abundances.cxb	2.27507e+07	1.29955	1
post_111	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/156V_post.abundances.cxb	2.094e+07	1.25371	1
post_112	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/157V_post.abundances.cxb	3.13193e+07	1.88525	1
post_113	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/159V_post.abundances.cxb	2.8893e+07	1.61027	1
post_114	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/160V_post.abundances.cxb	2.51945e+07	1.4793	1
post_115	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/162V_post.abundances.cxb	3.06575e+07	1.83312	1
post_116	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/163V_post.abundances.cxb	1.97692e+07	1.20996	1
post_117	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/164V_post.abundances.cxb	2.54343e+07	1.45932	1
pre_0	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/003V_pre.abundances.cxb	2.06812e+07	1.22153	1
pre_1	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/004V_pre.abundances.cxb	7.1781e+06	0.292516	1
pre_2	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/006V_pre.abundances.cxb	6.26234e+06	0.303184	1
pre_3	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/008V_pre.abundances.cxb	5.48856e+06	0.232965	1
pre_4	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/009V_pre.abundances.cxb	2.10629e+07	1.14738	1
pre_5	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/012V_pre.abundances.cxb	1.83886e+07	1.01912	1
pre_6	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/013V_pre.abundances.cxb	1.70957e+07	0.96274	1
pre_7	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/014V_pre.abundances.cxb	1.47184e+07	0.781348	1
pre_8	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/015V_pre.abundances.cxb	8.4512e+06	0.341884	1
pre_9	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/017V_pre.abundances.cxb	2.00148e+07	1.12551	1
pre_10	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/018V_pre.abundances.cxb	7.52668e+06	0.284105	1
pre_11	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/021V_pre.abundances.cxb	4.76288e+06	0.184974	1
pre_12	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/022V_pre.abundances.cxb	8.41356e+06	0.31842	1
pre_13	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/024V_pre.abundances.cxb	1.81596e+07	0.935991	1
pre_14	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/027V_pre.abundances.cxb	8.97127e+06	0.303033	1
pre_15	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/028V_pre.abundances.cxb	1.66717e+07	0.812562	1
pre_16	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/029V_pre.abundances.cxb	2.57674e+06	0.104477	1
pre_17	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/030V_pre.abundances.cxb	5.65124e+06	0.232725	1
pre_18	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/031V_pre.abundances.cxb	8.54343e+06	0.343681	1
pre_19	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/032V_pre.abundances.cxb	6.42496e+06	0.261113	1
pre_20	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/033V_pre.abundances.cxb	1.32772e+07	0.55206	1
pre_21	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/034V_pre.abundances.cxb	9.57587e+06	0.369128	1
pre_22	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/035V_pre.abundances.cxb	9.94894e+06	0.394855	1
pre_23	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/037V_pre.abundances.cxb	1.41591e+06	0.0515291	1
pre_24	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/039V_pre.abundances.cxb	1.57103e+06	0.0566345	1
pre_25	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/041V_pre.abundances.cxb	3.81952e+06	0.159386	1
pre_26	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/042V_pre.abundances.cxb	1.81536e+07	0.947346	1
pre_27	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/043V_pre.abundances.cxb	1.18113e+06	0.0427219	1
pre_28	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/044V_pre.abundances.cxb	6.3516e+06	0.209948	1
pre_29	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/045V_pre.abundances.cxb	1.45574e+06	0.0496499	1
pre_30	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/046V_pre.abundances.cxb	5.98309e+06	0.271742	1
pre_31	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/047V_pre.abundances.cxb	2.57637e+07	1.20063	1
pre_32	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/048V_pre.abundances.cxb	3.32911e+07	1.97434	1
pre_33	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/049V_pre.abundances.cxb	4.63513e+07	2.49008	1
pre_34	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/050V_pre.abundances.cxb	3.56449e+07	2.00502	1
pre_35	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/051V_pre.abundances.cxb	5.22717e+07	2.97566	1
pre_36	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/052V_pre.abundances.cxb	4.77054e+07	2.61728	1
pre_37	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/054V_pre.abundances.cxb	4.82397e+07	2.87412	1
pre_38	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/055V_pre.abundances.cxb	1.15895e+07	0.45227	1
pre_39	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/056V_pre.abundances.cxb	3.29888e+07	1.87696	1
pre_40	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/060V_pre.abundances.cxb	1.99157e+07	1.12618	1
pre_41	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/061V_pre.abundances.cxb	3.6195e+07	2.03554	1
pre_42	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/062V_pre.abundances.cxb	8.60807e+06	0.299508	1
pre_43	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/063V_pre.abundances.cxb	1.45048e+07	0.768625	1
pre_44	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/064V_pre.abundances.cxb	3.57622e+07	1.95904	1
pre_45	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/065V_pre.abundances.cxb	3.70466e+07	2.11384	1
pre_46	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/066V_pre.abundances.cxb	3.58742e+07	2.02245	1
pre_47	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/067V_pre.abundances.cxb	1.61229e+07	0.853615	1
pre_48	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/068V_pre.abundances.cxb	3.02316e+07	1.48746	1
pre_49	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/069V_pre.abundances.cxb	3.47219e+07	1.91605	1
pre_50	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/070V_pre.abundances.cxb	4.79326e+07	2.44884	1
pre_51	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/071V_pre.abundances.cxb	3.2723e+07	1.67808	1
